time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1620734190,1115.2777777777778,194.48888888888888,214.38888888888889,226.72222222222223,161.0,235.72222222222223,4319.333333333333,4.9,31.029999999999927,2.927777777777783,2734.4,2.3138888888888918,9.2,0.0722222222222228,1
1620734200,1289.0,120.00196078431372,212.8235294117647,232.2941176470588,161.0,241.7058823529412,5519.35294117647,4.9,27.68999999999996,17.372222222222216,2734.4,12.684313725490188,9.2,0.5571895424836584,1
1620734210,1452.7222222222222,17.49248366013071,214.38888888888889,239.16666666666663,1855.8,248.72222222222223,5694.277777777777,1.6,24.4,16.372222222222216,17514.4,19.633333333333336,24.1,0.6872549019607845,1
1620734220,1636.111111111111,17.49248366013071,214.38888888888889,247.61111111111111,923.4,257.27777777777777,5508.333333333333,1.0,20.920000000000076,18.33888888888889,3906.8,19.207352941176477,0.0,0.8444444444444457,1
1620734230,1841.2777777777776,17.49248366013071,214.38888888888889,256.3333333333333,920.1,265.8333333333333,5303.222222222223,1.2,17.539999999999964,20.516666666666676,3676.4,20.877777777777784,0.0,0.87222222222222,1
1620734240,2017.9444444444443,17.49248366013071,214.38888888888889,264.3888888888889,859.3,273.8333333333333,5126.888888888889,1.2,14.389999999999963,17.66666666666665,3375.9,20.46111111111111,0.0,0.80555555555556,1
1620734250,2191.5,17.49248366013071,214.38888888888889,272.1666666666667,869.1,281.77777777777777,4954.055555555556,1.2,11.120000000000072,17.355555555555565,3426.1,19.411111111111108,0.0,0.7777777777777771,1
1620734260,2362.222222222222,17.49248366013071,214.38888888888889,280.27777777777777,871.7,289.8333333333333,4782.666666666667,0.4,7.689999999999964,17.072222222222216,3367.1,19.127777777777784,0.0,0.8111111111111086,1
1620734270,2533.6111111111118,17.49248366013071,214.38888888888889,288.05555555555554,865.6,297.77777777777777,4612.111111111111,0.4,4.589999999999963,17.138888888888914,3388.3,18.91666666666665,0.0,0.7777777777777771,1
1620734280,2698.1111111111118,17.49248366013071,214.38888888888889,296.05555555555554,862.1,305.6111111111111,4447.833333333333,6.2,1.2200000000000728,16.45,3340.5,18.808333333333326,0.0,0.8,1
1620734290,2933.555555555556,17.49248366013071,214.38888888888889,302.72222222222223,901.5,311.94444444444446,4212.222222222223,6.2,1.2200000000000728,23.544444444444437,3858.4,21.991666666666674,0.0,0.6666666666666685,1
