time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1620740570,1131.611111111111,19.011111111111116,0.0,215.0,182.1,215.22222222222223,391.6666666666667,2.2,8.990000000000009,5.061111111111108,7755.2,5.688888888888892,0.0,0.1722222222222228,1
1620740580,1169.3333333333333,17.377777777777776,0.0,216.22222222222223,165.0,216.61111111111111,565.4444444444445,1.0,11.279999999999996,3.772222222222217,7474.8,5.058333333333337,0.0,0.1222222222222228,1
1620740590,1211.4444444444443,20.194444444444446,0.0,217.33333333333331,138.9,217.77777777777777,767.3888888888889,1.1,13.439999999999989,4.211111111111109,7420.0,4.85,0.0,0.1111111111111114,1
1620740600,1249.111111111111,21.933333333333326,0.0,218.38888888888889,124.8,218.83333333333331,986.7222222222222,0.8,15.590000000000009,3.766666666666674,7244.5,4.383333333333337,0.0,0.1055555555555542,1
1620740610,1287.6666666666667,21.277777777777786,0.0,219.33333333333331,122.5,219.83333333333331,1199.5,0.8,17.55999999999999,3.855555555555566,7336.0,4.325,0.0,0.0944444444444457,1
1620740620,1316.5555555555557,15.466666666666674,0.0,219.94444444444449,89.2,220.33333333333331,1354.1666666666667,1.8,19.810000000000013,2.8888888888888915,7096.1,3.791666666666663,0.0,0.0611111111111114,1
1620740630,1346.0,20.63333333333333,0.0,220.5,89.4,220.94444444444449,1560.5,1.8,22.289999999999985,2.9444444444444344,7271.2,3.175,0.0,0.0555555555555542,1
1620740640,1352.4444444444443,6.677777777777783,0.0,220.61111111111111,30.1,221.16666666666663,1627.2777777777778,0.7,25.0,0.6444444444444344,6417.2,2.0,0.0,0.0111111111111114,1
1620740650,1365.5555555555557,27.38333333333333,0.0,221.05555555555557,75.8,222.0,1901.111111111111,0.7,26.05999999999999,1.311111111111131,6403.9,1.3444444444444457,0.0,0.0444444444444428,1
1620740660,1398.9444444444443,40.45555555555554,0.0,222.27777777777777,110.6,223.0,2305.6666666666665,2.9,26.28000000000002,3.3388888888888686,7158.9,2.208333333333337,0.0,0.1222222222222228,1
1620740670,1434.7777777777778,23.933333333333348,0.0,223.83333333333331,142.1,224.61111111111111,2545.0,2.9,26.20999999999999,3.5833333333333486,7228.8,3.46388888888888,0.0,0.1555555555555571,1
1620740680,1461.5555555555557,17.08333333333335,0.0,224.72222222222223,138.9,225.72222222222223,2715.833333333333,1.3,26.05,2.677777777777783,7048.7,4.075,0.0,0.0888888888888885,1
1620740690,1491.2777777777778,26.844444444444434,0.0,225.66666666666663,147.2,227.11111111111111,2984.277777777778,1.3,26.09000000000001,2.972222222222217,7072.6,4.230555555555554,0.0,0.0944444444444428,1
1620740700,1516.235294117647,19.866339869281045,0.0,226.4705882352941,147.2,228.05882352941177,3182.9411764705883,0.9,26.069999999999983,2.495751633986925,7072.6,2.650490196078431,0.0,0.0803921568627458,1
1620740710,1545.6666666666667,20.183660130718955,0.0,227.5,1166.3,229.05555555555557,3384.777777777778,0.9,26.26000000000004,2.943137254901967,17188.5,2.8888888888888915,0.0,0.1029411764705884,1
1620740720,1566.111111111111,17.455555555555566,0.0,228.11111111111111,87.2,229.83333333333331,3559.333333333333,1.0,26.209999999999944,2.0444444444444345,7048.4,3.4772875816993407,0.0,0.0611111111111114,1
1620740730,1574.2777777777778,11.35555555555552,0.0,228.38888888888889,93.4,230.44444444444449,3672.8888888888887,1.8,26.220000000000077,0.8166666666666742,7014.6,2.3166666666666744,0.0,0.0277777777777771,1
1620740740,1575.1176470588234,11.35555555555552,0.0,228.41176470588235,93.4,231.05882352941177,3671.941176470588,1.8,26.2,0.0839869281045594,7014.6,2.7050653594771235,0.0,0.0022875816993462,1
1620740750,1590.8333333333333,23.628104575163388,0.0,228.83333333333331,1202.2,232.27777777777777,3908.222222222222,1.0,26.269999999999985,1.5715686274509837,18644.7,4.136111111111108,0.0,0.0421568627450994,1
1620740760,1652.4444444444443,64.57222222222222,0.0,230.5,164.2,233.88888888888889,4553.944444444444,0.1,26.109999999999943,6.161111111111109,7096.1,5.686601307189551,0.0,0.1666666666666657,1
1620740770,1700.0,22.90555555555557,0.0,232.05555555555557,190.2,235.44444444444449,4783.0,2.5,26.1,4.755555555555565,7262.5,6.138888888888891,0.0,0.1555555555555542,1
