time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test_name,x_scaled
1620424226,1323.5833333333333,0.575,0.0,208.41666666666663,138.56666666666666,209.41666666666663,9.583333333333334,1.3999999999999997,6.233333333333333,21.025,936.6333333333332,20.39583333333333,0.0,0.925,25tps|4_nodes,0.0
1620424236,1541.4166666666667,0.9916666666666668,0.0,217.5,145.5666666666667,218.58333333333331,17.916666666666668,1.5666666666666664,7.963333333333336,21.78333333333333,986.9,27.245833333333334,0.0,0.9083333333333332,25tps|4_nodes,4.955555555555556
1620424246,1767.5,0.9916666666666668,0.0,226.75,149.56666666666666,227.91666666666663,9.666666666666666,1.5,9.71666666666666,22.60833333333333,1011.2666666666668,28.625,0.0,0.9250000000000002,25tps|4_nodes,9.911111111111111
1620424256,1980.4166666666667,0.4916666666666667,0.0,235.66666666666663,145.0,237.0,14.583333333333334,1.6,11.41333333333334,21.291666666666668,986.6666666666666,28.6,0.0,0.8916666666666666,25tps|4_nodes,14.866666666666667
1620424266,2208.9166666666665,0.5666666666666667,0.0,245.08333333333331,148.86666666666667,246.25,13.083333333333334,0.9,13.136666666666663,22.85,1004.3666666666668,28.45833333333333,0.0,0.9416666666666664,25tps|4_nodes,19.822222222222223
1620424276,2426.9166666666665,0.3333333333333333,0.0,254.08333333333331,146.66666666666666,255.33333333333331,13.5,1.4,14.840000000000003,21.8,996.1666666666666,28.67083333333333,0.0,0.9,25tps|4_nodes,24.77777777777778
1620424286,2655.333333333333,0.3833333333333333,0.0,263.4166666666667,148.93333333333334,264.5833333333333,11.666666666666666,1.3,16.663333333333338,22.84166666666667,1004.4666666666668,28.729166666666668,0.0,0.9333333333333332,25tps|4_nodes,29.733333333333334
1620424296,2873.6666666666665,0.2472222222222222,0.0,272.22222222222223,148.13333333333333,273.22222222222223,12.888888888888893,1.5666666666666669,18.73,21.83333333333333,1003.9333333333334,29.91527777777777,0.0,0.8805555555555561,25tps|4_nodes,34.68888888888889
1620424306,3076.333333333333,0.4694444444444444,0.0,280.5,329.7,281.5833333333333,16.083333333333332,1.5666666666666669,20.67333333333333,20.266666666666666,1913.9333333333327,27.77916666666667,0.0,0.8277777777777772,25tps|4_nodes,39.644444444444446
1620424316,3300.75,0.3944444444444444,0.0,289.5,150.23333333333332,290.6666666666667,10.5,0.8666666666666667,21.60000000000001,22.441666666666663,1016.4333333333334,27.022222222222226,0.0,0.9,25tps|4_nodes,44.6
1620424326,3524.833333333333,0.4694444444444444,0.0,298.6666666666667,145.70000000000002,299.6666666666667,12.583333333333334,1.2333333333333334,22.17666666666666,22.40833333333333,990.0666666666666,28.820833333333336,0.0,0.9166666666666666,25tps|4_nodes,49.55555555555556
1620424336,3746.1666666666665,0.6027777777777777,0.0,307.9166666666667,152.26666666666665,309.0833333333333,10.333333333333334,1.5666666666666664,22.15333333333333,22.133333333333336,1024.4666666666667,28.975,0.0,0.925,25tps|4_nodes,54.51111111111111
1620424346,3964.5833333333335,0.4000000000000001,0.0,316.75,148.86666666666667,318.0833333333333,9.916666666666666,1.4333333333333336,22.13000000000001,21.84166666666667,1009.7333333333332,29.454166666666666,0.0,0.8833333333333333,25tps|4_nodes,59.46666666666667
